file,ref_len,mapped_bases,snp_dist_to_ref
./SRR12508892_filtered/snps.aligned.fa,46253,45760,4
./SRR12204352_filtered/snps.aligned.fa,46253,6721,57
./SRR12204388_filtered/snps.aligned.fa,46253,5164,1
./SRR9620890_filtered/snps.aligned.fa,46253,4853,1
./SRR11341626_filtered/snps.aligned.fa,46253,2422,1
./28099_2#304/snps.aligned.fa,46253,5284,286
./SRR12009590_filtered/snps.aligned.fa,46253,2561,40
./ERR3393411_filtered/snps.aligned.fa,46253,853,3
./SRR12517471_filtered/snps.aligned.fa,46253,17619,1
./SRR6451284_filtered/snps.aligned.fa,46253,6729,57
./SRR10286349_filtered/snps.aligned.fa,46253,3259,50
./SRR5024314_filtered/snps.aligned.fa,46253,2955,41
./ERR1263948_filtered/snps.aligned.fa,46253,8562,592
./SRR10749233_filtered/snps.aligned.fa,46253,5074,1
./SRR9620946_filtered/snps.aligned.fa,46253,4760,1
./SRR12204377_filtered/snps.aligned.fa,46253,5204,2
./SRR12508632_filtered/snps.aligned.fa,46253,1661,32
./SRR8397582_filtered/snps.aligned.fa,46253,2438,55
./SRR9988394_filtered/snps.aligned.fa,46253,43886,8
./SRR10512539_filtered/snps.aligned.fa,46253,5469,1
./SRR12072617_filtered/snps.aligned.fa,46253,44823,50
./ERR712516_filtered/snps.aligned.fa,46253,2137,1
./SRR9620925_filtered/snps.aligned.fa,46253,4635,1
./SRR11454319_filtered/snps.aligned.fa,46253,2969,36
./SRR10006058_filtered/snps.aligned.fa,46253,4015,56
./SRR11454299_filtered/snps.aligned.fa,46253,3494,52
./28099_1#148/snps.aligned.fa,46253,4866,269
./SRR12569950_filtered/snps.aligned.fa,46253,2879,1
./SRR12204395_filtered/snps.aligned.fa,46253,5303,1
./SRR3098780_filtered/snps.aligned.fa,46253,2138,1
./28099_1#317/snps.aligned.fa,46253,2495,56
./28099_1#203/snps.aligned.fa,46253,2450,57
./SRR9615917_filtered/snps.aligned.fa,46253,2140,1
./SRR10665529_filtered/snps.aligned.fa,46253,5444,1
./SRR6903163_filtered/snps.aligned.fa,46253,3106,53
./28099_1#41/snps.aligned.fa,46253,2518,57
./ERR4452380_filtered/snps.aligned.fa,46253,2531,57
./SRR10665510_filtered/snps.aligned.fa,46253,5121,1
./SRR12204375_filtered/snps.aligned.fa,46253,5132,1
./SRR11727696_filtered/snps.aligned.fa,46253,45473,6
./SRR11454284_filtered/snps.aligned.fa,46253,3251,50
./SRR12204417_filtered/snps.aligned.fa,46253,5288,1
./SRR10751453_filtered/snps.aligned.fa,46253,5275,1
./ERR3393396_filtered/snps.aligned.fa,46253,5698,339
./ERR1263946_filtered/snps.aligned.fa,46253,9326,680
./ERR1912634_filtered/snps.aligned.fa,46253,3258,51
./SRR13001310_filtered/snps.aligned.fa,46253,1940,55
./SRR12204378_filtered/snps.aligned.fa,46253,5743,2
./ERR1912635_filtered/snps.aligned.fa,46253,3245,51
./SRR7826035_filtered/snps.aligned.fa,46253,5163,1
./26141_1#298/snps.aligned.fa,46253,2493,57
./SRR13000507_filtered/snps.aligned.fa,46253,3047,97
./SRR5153285_filtered/snps.aligned.fa,46253,46211,5
./SRR5153284_filtered/snps.aligned.fa,46253,46176,6
./SRR12509131_filtered/snps.aligned.fa,46253,2136,1
./SRR10429356_filtered/snps.aligned.fa,46253,11497,546
./SRR13195688_filtered/snps.aligned.fa,46253,6181,44
./SRR6515382_filtered/snps.aligned.fa,46253,5970,1
./SRR11495756_filtered/snps.aligned.fa,46253,2130,1
./28099_1#230/snps.aligned.fa,46253,2493,57
./SRR9620942_filtered/snps.aligned.fa,46253,5179,1
./ERR2935754_filtered/snps.aligned.fa,46253,2136,1
./SRR11454384_filtered/snps.aligned.fa,46253,3833,53
./28099_2#210/snps.aligned.fa,46253,2494,56
./SRR7284874_filtered/snps.aligned.fa,46253,2615,1
./28099_2#291/snps.aligned.fa,46253,2484,54
./SRR10286137_filtered/snps.aligned.fa,46253,3582,102
./SRR12204390_filtered/snps.aligned.fa,46253,5289,1
./SRR12072638_filtered/snps.aligned.fa,46253,5244,1
./SRR13001406_filtered/snps.aligned.fa,46253,3059,41
./SRR10429309_filtered/snps.aligned.fa,46253,5268,1
./SRR12204413_filtered/snps.aligned.fa,46253,4631,0
./SRR13158578_filtered/snps.aligned.fa,46253,6416,45
./ERR3393406_filtered/snps.aligned.fa,46253,2108,1
./SRR12902520_filtered/snps.aligned.fa,46253,6655,47
./SRR13000307_filtered/snps.aligned.fa,46253,3099,51
./SRR10761131_filtered/snps.aligned.fa,46253,3207,47
./SRR10103880_filtered/snps.aligned.fa,46253,3246,54
./SRR10429277_filtered/snps.aligned.fa,46253,4755,1
./SRR7827099_filtered/snps.aligned.fa,46253,3904,53
./SRR11971332_filtered/snps.aligned.fa,46253,46177,6
./SRR10665505_filtered/snps.aligned.fa,46253,5318,1
./SRR8733918_filtered/snps.aligned.fa,46253,2692,3
./SRR9113455_filtered/snps.aligned.fa,46253,41873,11
./SRR10665499_filtered/snps.aligned.fa,46253,5403,1
./DRR075633_filtered/snps.aligned.fa,46253,40345,14
./SRR9620965_filtered/snps.aligned.fa,46253,5016,1
./SRR6067099_filtered/snps.aligned.fa,46253,6255,18
./ERR4452375_filtered/snps.aligned.fa,46253,2248,5
./SRR7500678_filtered/snps.aligned.fa,46253,3226,5
./SRR12204412_filtered/snps.aligned.fa,46253,4976,0
./SRR3574326_filtered/snps.aligned.fa,46253,2991,45
./SRR8505980_filtered/snps.aligned.fa,46253,1842,44
./SRR12570014_filtered/snps.aligned.fa,46253,46051,9
./SRR6451282_filtered/snps.aligned.fa,46253,6586,57
./SRR10665525_filtered/snps.aligned.fa,46253,5385,1
./28099_2#48/snps.aligned.fa,46253,3162,52
./SRR10006105_filtered/snps.aligned.fa,46253,3858,53
./SRR5153287_filtered/snps.aligned.fa,46253,46192,4
./SRR12903833_filtered/snps.aligned.fa,46253,6411,44
./ERR4452361_filtered/snps.aligned.fa,46253,2237,4
./ERR712515_filtered/snps.aligned.fa,46253,2176,3
./SRR6686320_filtered/snps.aligned.fa,46253,45682,5
./SRR10207198_filtered/snps.aligned.fa,46253,2138,1
./SRR13068788_filtered/snps.aligned.fa,46253,5226,1
./SRR9620921_filtered/snps.aligned.fa,46253,5405,1
./SRR6892789_filtered/snps.aligned.fa,46253,3509,215
./SRR7724809_filtered/snps.aligned.fa,46253,2123,1
./SRR9620960_filtered/snps.aligned.fa,46253,5094,1
./ERR1263950_filtered/snps.aligned.fa,46253,9179,661
./26141_1#295/snps.aligned.fa,46253,2447,55
./ERR4554412_filtered/snps.aligned.fa,46253,3202,52
./ERR1263949_filtered/snps.aligned.fa,46253,8495,585
./SRR10665526_filtered/snps.aligned.fa,46253,11962,604
./SRR12009569_filtered/snps.aligned.fa,46253,5869,1
./SRR10126951_filtered/snps.aligned.fa,46253,1386,1
./SRR10750973_filtered/snps.aligned.fa,46253,5365,1
./SRR7851090_filtered/snps.aligned.fa,46253,2138,1
./ERR4452356_filtered/snps.aligned.fa,46253,7142,527
./SRR13080118_filtered/snps.aligned.fa,46253,6177,44
./SRR11486737_filtered/snps.aligned.fa,46253,5221,1
./ERR4426043_filtered/snps.aligned.fa,46253,2141,1
./SRR1508893_filtered/snps.aligned.fa,46253,4960,46
./26141_1#187/snps.aligned.fa,46253,2497,53
./SRR12769881_filtered/snps.aligned.fa,46253,3799,40
./SRR9620950_filtered/snps.aligned.fa,46253,5189,1
./SRR6455974_filtered/snps.aligned.fa,46253,3543,59
./SRR1508895_filtered/snps.aligned.fa,46253,4968,45
./ERR1195513_filtered/snps.aligned.fa,46253,2135,1
./SRR11970754_filtered/snps.aligned.fa,46253,46177,6
./SRR7943899_filtered/snps.aligned.fa,46253,2137,1
./SRR6376588_filtered/snps.aligned.fa,46253,8003,704
./ERR2935635_filtered/snps.aligned.fa,46253,2231,4
./SRR13000311_filtered/snps.aligned.fa,46253,3096,53
./SRR12916664_filtered/snps.aligned.fa,46253,6854,42
./SRR11486742_filtered/snps.aligned.fa,46253,5179,1
./SRR4302198_filtered/snps.aligned.fa,46253,2126,1
./SRR7870871_filtered/snps.aligned.fa,46253,5131,1
./SRR11727698_filtered/snps.aligned.fa,46253,5468,5
./28099_1#346/snps.aligned.fa,46253,2469,56
./28099_1#132/snps.aligned.fa,46253,2449,57
./SRR10665503_filtered/snps.aligned.fa,46253,5158,1
./SRR12517447_filtered/snps.aligned.fa,46253,12237,1
./SRR13195675_filtered/snps.aligned.fa,46253,6127,43
./SRR10512969_filtered/snps.aligned.fa,46253,2624,101
./SRR3951679_filtered/snps.aligned.fa,46253,3089,46
./SRR7870868_filtered/snps.aligned.fa,46253,5257,1
./DRR075612_filtered/snps.aligned.fa,46253,6439,45
./ERR4131613_filtered/snps.aligned.fa,46253,3278,56
./28099_1#47/snps.aligned.fa,46253,3185,51
./SRR7850985_filtered/snps.aligned.fa,46253,0,0
./SRR9301084_filtered/snps.aligned.fa,46253,9692,461
./SRR13195690_filtered/snps.aligned.fa,46253,6095,39
./SRR8071933_filtered/snps.aligned.fa,46253,2154,4
./SRR12204350_filtered/snps.aligned.fa,46253,6314,41
./SRR8505979_filtered/snps.aligned.fa,46253,1900,44
./SRR10006056_filtered/snps.aligned.fa,46253,4462,64
./SRR6065849_filtered/snps.aligned.fa,46253,6890,86
./ERR712662_filtered/snps.aligned.fa,46253,2640,16
./SRR11486743_filtered/snps.aligned.fa,46253,6415,5
./SRR7716577_filtered/snps.aligned.fa,46253,46242,6
./SRR11727700_filtered/snps.aligned.fa,46253,6424,43
./SRR13195696_filtered/snps.aligned.fa,46253,6154,41
./SRR13156974_filtered/snps.aligned.fa,46253,5059,2
./SRR13362843_filtered/snps.aligned.fa,46253,6856,87
./SRR10752090_filtered/snps.aligned.fa,46253,5437,1
./SRR10665523_filtered/snps.aligned.fa,46253,5297,1
./26141_1#182/snps.aligned.fa,46253,2943,91
./SRR12462369_filtered/snps.aligned.fa,46253,6193,45
./SRR13362842_filtered/snps.aligned.fa,46253,6760,82
./SRR1314258_filtered/snps.aligned.fa,46253,3208,39
./SRR7042020_filtered/snps.aligned.fa,46253,3027,52
./SRR9051977_filtered/snps.aligned.fa,46253,1983,3
./SRR7026303_filtered/snps.aligned.fa,46253,45415,67
./ERR3375690_filtered/snps.aligned.fa,46253,3265,53
./SRR13195682_filtered/snps.aligned.fa,46253,6143,44
./SRR10115845_filtered/snps.aligned.fa,46253,2931,49
./SRR11486744_filtered/snps.aligned.fa,46253,4045,1
./SRR11727691_filtered/snps.aligned.fa,46253,6451,45
./SRR9113487_filtered/snps.aligned.fa,46253,5580,6
./SRR12269846_filtered/snps.aligned.fa,46253,40691,7
./SRR10006051_filtered/snps.aligned.fa,46253,3898,54
./DRR075620_filtered/snps.aligned.fa,46253,40487,49
./28099_1#102/snps.aligned.fa,46253,2488,53
./SRR12902538_filtered/snps.aligned.fa,46253,2128,1
./SRR12009601_filtered/snps.aligned.fa,46253,5910,1
./SRR10006108_filtered/snps.aligned.fa,46253,4428,63
./SRR6455967_filtered/snps.aligned.fa,46253,4759,158
./SRR10665516_filtered/snps.aligned.fa,46253,5175,1
./SRR7724616_filtered/snps.aligned.fa,46253,2818,7
./SRR12358935_filtered/snps.aligned.fa,46253,6069,41
./SRR10665517_filtered/snps.aligned.fa,46253,5391,1
./SRR7724633_filtered/snps.aligned.fa,46253,3049,45
./SRR10429295_filtered/snps.aligned.fa,46253,12929,700
./SRR10235879_filtered/snps.aligned.fa,46253,2564,1
./28099_1#209/snps.aligned.fa,46253,3158,52
./SRR12204355_filtered/snps.aligned.fa,46253,5767,2
./SRR12072648_filtered/snps.aligned.fa,46253,44749,51
./ERR712691_filtered/snps.aligned.fa,46253,2626,1
./SRR8187980_filtered/snps.aligned.fa,46253,3833,53
./SRR10429372_filtered/snps.aligned.fa,46253,11653,548
./SRR10525639_filtered/snps.aligned.fa,46253,2728,101
./SRR10006055_filtered/snps.aligned.fa,46253,4506,64
./SRR10429313_filtered/snps.aligned.fa,46253,12719,667
./SRR11038969_filtered/snps.aligned.fa,46253,39423,8
./26141_1#260/snps.aligned.fa,46253,2462,50
./SRR11454163_filtered/snps.aligned.fa,46253,2140,1
./SRR3095388_filtered/snps.aligned.fa,46253,2716,1
./SRR7716571_filtered/snps.aligned.fa,46253,6049,3
./26141_1#250/snps.aligned.fa,46253,2451,56
./SRR13081910_filtered/snps.aligned.fa,46253,4226,1
./SRR11068097_filtered/snps.aligned.fa,46253,6048,3
./SRR4302082_filtered/snps.aligned.fa,46253,3294,124
./SRR6451285_filtered/snps.aligned.fa,46253,6924,58
./SRR5714074_filtered/snps.aligned.fa,46253,6058,44
./SRR10272840_filtered/snps.aligned.fa,46253,3538,51
./SRR6455985_filtered/snps.aligned.fa,46253,2822,34
./28099_2#259/snps.aligned.fa,46253,3152,51
./SRR1314503_filtered/snps.aligned.fa,46253,2728,49
./SRR12903819_filtered/snps.aligned.fa,46253,6680,43
./SRR9301096_filtered/snps.aligned.fa,46253,3218,44
./SRR10429282_filtered/snps.aligned.fa,46253,4475,1
./SRR9620892_filtered/snps.aligned.fa,46253,4690,1
./SRR11486735_filtered/snps.aligned.fa,46253,4868,1
./ERR4452442_filtered/snps.aligned.fa,46253,2139,1
./26141_1#218/snps.aligned.fa,46253,2485,57
./SRR6065798_filtered/snps.aligned.fa,46253,5473,5
./26141_1#251/snps.aligned.fa,46253,2449,55
./SRR13195707_filtered/snps.aligned.fa,46253,6219,44
./SRR3957125_filtered/snps.aligned.fa,46253,3114,53
./SRR9620924_filtered/snps.aligned.fa,46253,4889,1
./26141_1#138/snps.aligned.fa,46253,2461,57
./SRR10230871_filtered/snps.aligned.fa,46253,3257,50
./SRR9990246_filtered/snps.aligned.fa,46253,2136,1
./SRR10429307_filtered/snps.aligned.fa,46253,11928,610
./SRR10429344_filtered/snps.aligned.fa,46253,4470,1
./ERR3393084_filtered/snps.aligned.fa,46253,2140,1
./28099_2#84/snps.aligned.fa,46253,2484,56
./SRR7870867_filtered/snps.aligned.fa,46253,5403,1
./SRR11903067_filtered/snps.aligned.fa,46253,5883,2
./SRR5884784_filtered/snps.aligned.fa,46253,5479,1
./SRR6455982_filtered/snps.aligned.fa,46253,2561,2
./SRR9620940_filtered/snps.aligned.fa,46253,5253,1
./28099_1#35/snps.aligned.fa,46253,2985,99
./DRR061467_filtered/snps.aligned.fa,46253,3095,56
./SRR12204422_filtered/snps.aligned.fa,46253,44776,8
./ERR4452358_filtered/snps.aligned.fa,46253,6890,480
./26141_1#179/snps.aligned.fa,46253,2428,54
./SRR5153281_filtered/snps.aligned.fa,46253,46108,4
./SRR12462373_filtered/snps.aligned.fa,46253,6192,44
./ERR3333478_filtered/snps.aligned.fa,46253,3108,55
./SRR6451281_filtered/snps.aligned.fa,46253,13067,623
./SRR11833408_filtered/snps.aligned.fa,46253,3094,50
./SRR9113462_filtered/snps.aligned.fa,46253,5576,6
./SRR12903829_filtered/snps.aligned.fa,46253,6236,45
./28099_1#301/snps.aligned.fa,46253,2485,56
./SRR8767398_filtered/snps.aligned.fa,46253,4128,1
./SRR12204419_filtered/snps.aligned.fa,46253,5165,1
./ERR4095062_filtered/snps.aligned.fa,46253,818,1
./SRR6451286_filtered/snps.aligned.fa,46253,6606,58
./SRR11454178_filtered/snps.aligned.fa,46253,2166,2
./28099_1#282/snps.aligned.fa,46253,2519,55
./SRR9620953_filtered/snps.aligned.fa,46253,5029,1
./SRR10665491_filtered/snps.aligned.fa,46253,5128,1
./SRR7724795_filtered/snps.aligned.fa,46253,911,7
./SRR10173687_filtered/snps.aligned.fa,46253,3117,2
./DRR075623_filtered/snps.aligned.fa,46253,5150,0
./SRR10751454_filtered/snps.aligned.fa,46253,5125,1
./26141_1#297/snps.aligned.fa,46253,3189,54
./28099_1#176/snps.aligned.fa,46253,2476,54
./SRR12204389_filtered/snps.aligned.fa,46253,5314,1
./SRR8737876_filtered/snps.aligned.fa,46253,3320,4
./SRR6474927_filtered/snps.aligned.fa,46253,5580,7
./ERR4452376_filtered/snps.aligned.fa,46253,6450,441
./SRR5153283_filtered/snps.aligned.fa,46253,46175,5
./SRR11454126_filtered/snps.aligned.fa,46253,3273,54
./SRR9620952_filtered/snps.aligned.fa,46253,4776,1
./ERR1263947_filtered/snps.aligned.fa,46253,8893,628
